Mach,CdB
0.083,0.0
0.082,0.0
0.082,0.0
0.082,0.0
0.082,0.0
0.082,0.0
0.082,0.0
0.082,0.0
0.082,0.0
0.082,0.0
0.082,0.0
0.082,0.0
0.082,0.0
0.079,0.0
0.076,0.0
0.073,0.0
0.07,0.0
0.067,0.0
0.064,0.0
0.061,0.0
0.058,0.0
0.055,0.0
0.052,0.0
0.049,0.0
0.046,0.0
0.043,0.0
0.04,0.0
0.038,0.0
0.035,0.0
0.032,0.0
0.029,0.0
0.026,0.0
0.023,0.0
0.021,0.0
0.021,0.0
0.021,0.0
0.021,0.0
0.021,0.0
0.021,0.0
0.021,0.0
0.021,0.0
0.021,0.0
0.021,0.0
0.021,0.0
0.021,0.0
0.021,0.0
0.021,0.0
0.021,0.0
0.021,0.0
0.021,0.0
0.021,0.0
0.021,0.0
0.021,0.0
0.021,0.0
0.021,0.0
0.021,0.0
0.021,0.0
0.021,0.0
0.021,0.0
0.021,0.0
0.021,0.0
0.021,0.0
0.021,0.0
0.021,0.0
0.021,0.0
0.021,0.0
0.021,0.0
0.021,0.0
0.021,0.0
0.021,0.0
0.021,0.0
0.021,0.0
0.021,0.0
0.021,0.0
0.021,0.0
0.021,0.0
0.021,0.0
0.021,0.0
0.021,0.0
0.021,0.0
0.021,0.0
0.021,0.0
0.021,0.0
0.021,0.0
0.021,0.0
0.021,0.0
0.021,0.0
0.021,0.0
0.021,0.0
0.021,0.0
0.021,0.0
0.021,0.0
0.021,0.0
0.021,0.0
0.021,0.0
0.021,0.0
0.021,0.0
0.021,0.0
0.021,0.0
0.021,0.0
0.021,0.0
0.021,0.0
0.021,0.0
0.021,0.0
0.021,0.0
0.021,0.0
0.021,0.0
0.021,0.0
0.021,0.0
0.021,0.0
0.021,0.0
0.021,0.0
0.021,0.0
0.021,0.0
0.021,0.0
0.021,0.0
0.021,0.0
0.021,0.0
0.021,0.0
0.021,0.0
0.021,0.0
0.021,0.0
0.021,0.0
0.021,0.0
0.021,0.0
0.021,0.0
0.021,0.0
0.021,0.0
0.021,0.0
0.021,0.0
0.021,0.0
0.021,0.0
0.021,0.0
0.021,0.0
0.021,0.0
0.021,0.0
0.021,0.0
0.021,0.0
0.021,0.0
0.021,0.0
0.021,0.0
0.021,0.0
0.021,0.0
0.021,0.0
0.021,0.0
0.021,0.0
0.021,0.0
0.021,0.0
0.021,0.0
0.021,0.0
0.021,0.0
0.021,0.0
0.021,0.0
0.021,0.0
0.021,0.0
0.021,0.0
0.021,0.0
0.021,0.0
0.021,0.0
0.021,0.0
0.021,0.0
0.021,0.0
0.021,0.0
0.021,0.0
0.021,0.0
0.021,0.0
0.021,0.0
0.021,0.0
0.021,0.0
0.021,0.0
0.021,0.0
0.021,0.0
0.021,0.0
0.021,0.0
0.021,0.0
0.021,0.0
0.021,0.0
0.021,0.0
0.021,0.0
